2014-10-10 03:40:26 startup archives install
2014-10-10 03:42:55 status unpacked xkb-data 1.8-2
2014-10-10 03:42:55 status unpacked xkb-data 1.8-2
2014-10-10 03:42:55 install keyboard-configuration <none> 1.68+squeeze2
2014-10-10 03:42:55 status half-installed keyboard-configuration 1.68+squeeze2
2014-10-10 03:42:55 status unpacked keyboard-configuration 1.68+squeeze2
2014-10-10 03:42:55 status unpacked keyboard-configuration 1.68+squeeze2
2014-10-10 03:42:55 install console-setup <none> 1.68+squeeze2
2014-10-10 03:42:55 status half-installed console-setup 1.68+squeeze2
2014-10-10 03:42:55 status unpacked console-setup 1.68+squeeze2
2014-10-10 03:42:55 status unpacked console-setup 1.68+squeeze2
2014-10-10 03:42:55 install kbd <none> 1.15.2-2
2014-10-10 03:42:55 status half-installed kbd 1.15.2-2
2014-10-10 03:42:55 status unpacked kbd 1.15.2-2
2014-10-10 03:42:55 status unpacked kbd 1.15.2-2
2014-10-10 03:42:55 install console-common <none> 0.7.85
2014-10-10 03:42:55 status half-installed console-common 0.7.85
2014-10-10 03:42:55 status unpacked console-common 0.7.85
2014-10-10 03:42:55 status unpacked console-common 0.7.85
2014-10-10 03:42:56 install gawk <none> 1:3.1.7.dfsg-5
2014-10-10 03:42:56 status half-installed gawk 1:3.1.7.dfsg-5
2014-10-10 03:42:56 status unpacked gawk 1:3.1.7.dfsg-5
2014-10-10 03:42:56 status unpacked gawk 1:3.1.7.dfsg-5
2014-10-10 03:42:56 install netbase <none> 4.45
2014-10-10 03:42:56 status half-installed netbase 4.45
2014-10-10 03:42:56 status unpacked netbase 4.45
2014-10-10 03:42:56 status unpacked netbase 4.45
2014-10-10 03:42:56 install libcap2 <none> 1:2.19-3+vyos1+helium1
2014-10-10 03:42:56 status half-installed libcap2 1:2.19-3+vyos1+helium1
2014-10-10 03:42:56 status unpacked libcap2 1:2.19-3+vyos1+helium1
2014-10-10 03:42:56 status unpacked libcap2 1:2.19-3+vyos1+helium1
2014-10-10 03:42:56 install libbsd0 <none> 0.2.0-1
2014-10-10 03:42:56 status half-installed libbsd0 0.2.0-1
2014-10-10 03:42:56 status unpacked libbsd0 0.2.0-1
2014-10-10 03:42:56 status unpacked libbsd0 0.2.0-1
2014-10-10 03:42:56 install libedit2 <none> 2.11-20080614-2
2014-10-10 03:42:56 status half-installed libedit2 2.11-20080614-2
2014-10-10 03:42:56 status unpacked libedit2 2.11-20080614-2
2014-10-10 03:42:56 status unpacked libedit2 2.11-20080614-2
2014-10-10 03:42:56 install libopts25 <none> 1:5.10-1.1
2014-10-10 03:42:56 status half-installed libopts25 1:5.10-1.1
2014-10-10 03:42:56 status unpacked libopts25 1:5.10-1.1
2014-10-10 03:42:56 status unpacked libopts25 1:5.10-1.1
2014-10-10 03:42:56 install libpci3 <none> 1:3.1.7-6
2014-10-10 03:42:56 status half-installed libpci3 1:3.1.7-6
2014-10-10 03:42:56 status unpacked libpci3 1:3.1.7-6
2014-10-10 03:42:56 status unpacked libpci3 1:3.1.7-6
2014-10-10 03:42:56 install libperl5.10 <none> 5.10.1-17squeeze6
2014-10-10 03:42:56 status half-installed libperl5.10 5.10.1-17squeeze6
2014-10-10 03:42:56 status unpacked libperl5.10 5.10.1-17squeeze6
2014-10-10 03:42:56 status unpacked libperl5.10 5.10.1-17squeeze6
2014-10-10 03:42:56 install libsensors4 <none> 1:3.1.2-6+squeeze1
2014-10-10 03:42:56 status half-installed libsensors4 1:3.1.2-6+squeeze1
2014-10-10 03:42:56 status unpacked libsensors4 1:3.1.2-6+squeeze1
2014-10-10 03:42:56 status unpacked libsensors4 1:3.1.2-6+squeeze1
2014-10-10 03:42:56 install libsnmp-base <none> 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status half-installed libsnmp-base 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status unpacked libsnmp-base 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status unpacked libsnmp-base 5.7.2+vyos1+helium1
2014-10-10 03:42:56 install libssl0.9.8 <none> 0.9.8zb-1
2014-10-10 03:42:56 status half-installed libssl0.9.8 0.9.8zb-1
2014-10-10 03:42:56 status unpacked libssl0.9.8 0.9.8zb-1
2014-10-10 03:42:56 status unpacked libssl0.9.8 0.9.8zb-1
2014-10-10 03:42:56 install libsnmp15 <none> 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status half-installed libsnmp15 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status unpacked libsnmp15 5.7.2+vyos1+helium1
2014-10-10 03:42:56 status unpacked libsnmp15 5.7.2+vyos1+helium1
2014-10-10 03:42:56 install ntp <none> 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:42:56 status half-installed ntp 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:42:56 status unpacked ntp 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:42:56 status unpacked ntp 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:42:56 install openssh-blacklist <none> 0.4.1
2014-10-10 03:42:56 status half-installed openssh-blacklist 0.4.1
2014-10-10 03:42:56 status unpacked openssh-blacklist 0.4.1
2014-10-10 03:42:56 status unpacked openssh-blacklist 0.4.1
2014-10-10 03:42:56 install python2.6-minimal <none> 2.6.6-8+deb6u3
2014-10-10 03:42:56 status half-installed python2.6-minimal 2.6.6-8+deb6u3
2014-10-10 03:42:56 status unpacked python2.6-minimal 2.6.6-8+deb6u3
2014-10-10 03:42:56 status unpacked python2.6-minimal 2.6.6-8+deb6u3
2014-10-10 03:42:56 install mime-support <none> 3.48-1
2014-10-10 03:42:56 status half-installed mime-support 3.48-1
2014-10-10 03:42:56 status unpacked mime-support 3.48-1
2014-10-10 03:42:56 status unpacked mime-support 3.48-1
2014-10-10 03:42:56 install libexpat1 <none> 2.0.1-7+squeeze1
2014-10-10 03:42:56 status half-installed libexpat1 2.0.1-7+squeeze1
2014-10-10 03:42:56 status unpacked libexpat1 2.0.1-7+squeeze1
2014-10-10 03:42:56 status unpacked libexpat1 2.0.1-7+squeeze1
2014-10-10 03:42:56 install python2.6 <none> 2.6.6-8+deb6u3
2014-10-10 03:42:56 status half-installed python2.6 2.6.6-8+deb6u3
2014-10-10 03:42:56 status unpacked python2.6 2.6.6-8+deb6u3
2014-10-10 03:42:56 status unpacked python2.6 2.6.6-8+deb6u3
2014-10-10 03:42:56 install python-minimal <none> 2.6.6-3+squeeze7
2014-10-10 03:42:56 status half-installed python-minimal 2.6.6-3+squeeze7
2014-10-10 03:42:56 status unpacked python-minimal 2.6.6-3+squeeze7
2014-10-10 03:42:56 status unpacked python-minimal 2.6.6-3+squeeze7
2014-10-10 03:42:57 install python <none> 2.6.6-3+squeeze7
2014-10-10 03:42:57 status half-installed python 2.6.6-3+squeeze7
2014-10-10 03:42:57 status unpacked python 2.6.6-3+squeeze7
2014-10-10 03:42:57 status unpacked python 2.6.6-3+squeeze7
2014-10-10 03:42:57 install openssl <none> 0.9.8zb-1
2014-10-10 03:42:57 status half-installed openssl 0.9.8zb-1
2014-10-10 03:42:57 status unpacked openssl 0.9.8zb-1
2014-10-10 03:42:57 status unpacked openssl 0.9.8zb-1
2014-10-10 03:42:57 install openssl-blacklist <none> 0.5-2
2014-10-10 03:42:57 status half-installed openssl-blacklist 0.5-2
2014-10-10 03:42:57 status unpacked openssl-blacklist 0.5-2
2014-10-10 03:42:57 status unpacked openssl-blacklist 0.5-2
2014-10-10 03:42:57 install libgmp3c2 <none> 2:4.3.2+dfsg-1
2014-10-10 03:42:57 status half-installed libgmp3c2 2:4.3.2+dfsg-1
2014-10-10 03:42:57 status unpacked libgmp3c2 2:4.3.2+dfsg-1
2014-10-10 03:42:57 status unpacked libgmp3c2 2:4.3.2+dfsg-1
2014-10-10 03:42:57 install libstrongswan <none> 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:57 status half-installed libstrongswan 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked libstrongswan 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked libstrongswan 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 install libkeyutils1 <none> 1.4-1
2014-10-10 03:42:58 status half-installed libkeyutils1 1.4-1
2014-10-10 03:42:58 status unpacked libkeyutils1 1.4-1
2014-10-10 03:42:58 status unpacked libkeyutils1 1.4-1
2014-10-10 03:42:58 install libkrb5support0 <none> 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status half-installed libkrb5support0 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libkrb5support0 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libkrb5support0 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 install libk5crypto3 <none> 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status half-installed libk5crypto3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libk5crypto3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libk5crypto3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 install libkrb5-3 <none> 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status half-installed libkrb5-3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libkrb5-3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libkrb5-3 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 install libgssapi-krb5-2 <none> 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status half-installed libgssapi-krb5-2 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libgssapi-krb5-2 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 status unpacked libgssapi-krb5-2 1.8.3+dfsg-4squeeze8
2014-10-10 03:42:58 install libidn11 <none> 1.15-2
2014-10-10 03:42:58 status half-installed libidn11 1.15-2
2014-10-10 03:42:58 status unpacked libidn11 1.15-2
2014-10-10 03:42:58 status unpacked libidn11 1.15-2
2014-10-10 03:42:58 install libgpg-error0 <none> 1.6-1
2014-10-10 03:42:58 status half-installed libgpg-error0 1.6-1
2014-10-10 03:42:58 status unpacked libgpg-error0 1.6-1
2014-10-10 03:42:58 status unpacked libgpg-error0 1.6-1
2014-10-10 03:42:58 install libgcrypt11 <none> 1.4.5-2+squeeze1
2014-10-10 03:42:58 status half-installed libgcrypt11 1.4.5-2+squeeze1
2014-10-10 03:42:58 status unpacked libgcrypt11 1.4.5-2+squeeze1
2014-10-10 03:42:58 status unpacked libgcrypt11 1.4.5-2+squeeze1
2014-10-10 03:42:58 install libtasn1-3 <none> 2.7-1+squeeze+1
2014-10-10 03:42:58 status half-installed libtasn1-3 2.7-1+squeeze+1
2014-10-10 03:42:58 status unpacked libtasn1-3 2.7-1+squeeze+1
2014-10-10 03:42:58 status unpacked libtasn1-3 2.7-1+squeeze+1
2014-10-10 03:42:58 install libgnutls26 <none> 2.8.6-1+squeeze4
2014-10-10 03:42:58 status half-installed libgnutls26 2.8.6-1+squeeze4
2014-10-10 03:42:58 status unpacked libgnutls26 2.8.6-1+squeeze4
2014-10-10 03:42:58 status unpacked libgnutls26 2.8.6-1+squeeze4
2014-10-10 03:42:58 install libsasl2-2 <none> 2.1.23.dfsg1-7
2014-10-10 03:42:58 status half-installed libsasl2-2 2.1.23.dfsg1-7
2014-10-10 03:42:58 status unpacked libsasl2-2 2.1.23.dfsg1-7
2014-10-10 03:42:58 status unpacked libsasl2-2 2.1.23.dfsg1-7
2014-10-10 03:42:58 install libldap-2.4-2 <none> 2.4.23-7.3
2014-10-10 03:42:58 status half-installed libldap-2.4-2 2.4.23-7.3
2014-10-10 03:42:58 status unpacked libldap-2.4-2 2.4.23-7.3
2014-10-10 03:42:58 status unpacked libldap-2.4-2 2.4.23-7.3
2014-10-10 03:42:58 install libssh2-1 <none> 1.2.6-1
2014-10-10 03:42:58 status half-installed libssh2-1 1.2.6-1
2014-10-10 03:42:58 status unpacked libssh2-1 1.2.6-1
2014-10-10 03:42:58 status unpacked libssh2-1 1.2.6-1
2014-10-10 03:42:58 install ca-certificates <none> 20090814+nmu3squeeze1
2014-10-10 03:42:58 status half-installed ca-certificates 20090814+nmu3squeeze1
2014-10-10 03:42:58 status unpacked ca-certificates 20090814+nmu3squeeze1
2014-10-10 03:42:58 status unpacked ca-certificates 20090814+nmu3squeeze1
2014-10-10 03:42:58 install libcurl3 <none> 7.21.0-2.1+squeeze9
2014-10-10 03:42:58 status half-installed libcurl3 7.21.0-2.1+squeeze9
2014-10-10 03:42:58 status unpacked libcurl3 7.21.0-2.1+squeeze9
2014-10-10 03:42:58 status unpacked libcurl3 7.21.0-2.1+squeeze9
2014-10-10 03:42:58 install bsdmainutils <none> 8.0.13
2014-10-10 03:42:58 status half-installed bsdmainutils 8.0.13
2014-10-10 03:42:58 status unpacked bsdmainutils 8.0.13
2014-10-10 03:42:58 status unpacked bsdmainutils 8.0.13
2014-10-10 03:42:58 install ipsec-tools <none> 1:0.7.3-12
2014-10-10 03:42:58 status half-installed ipsec-tools 1:0.7.3-12
2014-10-10 03:42:58 status unpacked ipsec-tools 1:0.7.3-12
2014-10-10 03:42:58 status unpacked ipsec-tools 1:0.7.3-12
2014-10-10 03:42:58 install libgeoip1 <none> 1.4.7~beta6+dfsg-1
2014-10-10 03:42:58 status half-installed libgeoip1 1.4.7~beta6+dfsg-1
2014-10-10 03:42:58 status unpacked libgeoip1 1.4.7~beta6+dfsg-1
2014-10-10 03:42:58 status unpacked libgeoip1 1.4.7~beta6+dfsg-1
2014-10-10 03:42:58 install libxml2 <none> 2.7.8.dfsg-2+squeeze9
2014-10-10 03:42:58 status half-installed libxml2 2.7.8.dfsg-2+squeeze9
2014-10-10 03:42:58 status unpacked libxml2 2.7.8.dfsg-2+squeeze9
2014-10-10 03:42:58 status unpacked libxml2 2.7.8.dfsg-2+squeeze9
2014-10-10 03:42:58 install libisc62 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed libisc62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisc62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisc62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install libdns69 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed libdns69 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libdns69 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libdns69 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install libisccc60 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed libisccc60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisccc60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisccc60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install libisccfg62 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed libisccfg62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisccfg62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libisccfg62 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install libbind9-60 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed libbind9-60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libbind9-60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked libbind9-60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install liblwres60 <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed liblwres60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked liblwres60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked liblwres60 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install bind9-host <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed bind9-host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked bind9-host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked bind9-host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install host <none> 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status half-installed host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 status unpacked host 1:9.7.3.dfsg-1~squeeze12
2014-10-10 03:42:58 install libcap2-bin <none> 1:2.19-3+vyos1+helium1
2014-10-10 03:42:58 status half-installed libcap2-bin 1:2.19-3+vyos1+helium1
2014-10-10 03:42:58 status unpacked libcap2-bin 1:2.19-3+vyos1+helium1
2014-10-10 03:42:58 status unpacked libcap2-bin 1:2.19-3+vyos1+helium1
2014-10-10 03:42:58 install iproute <none> 20120801+vyos1+helium2
2014-10-10 03:42:58 status half-installed iproute 20120801+vyos1+helium2
2014-10-10 03:42:58 status unpacked iproute 20120801+vyos1+helium2
2014-10-10 03:42:58 status unpacked iproute 20120801+vyos1+helium2
2014-10-10 03:42:58 install strongswan-ikev2 <none> 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status half-installed strongswan-ikev2 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-ikev2 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-ikev2 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 install strongswan-starter <none> 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status half-installed strongswan-starter 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-starter 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-starter 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 install strongswan-ikev1 <none> 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status half-installed strongswan-ikev1 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-ikev1 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 status unpacked strongswan-ikev1 4.5.2-1.1-bpo60+vyos1+helium3
2014-10-10 03:42:58 install vyatta-bash <none> 4.1-3+vyos1+helium4
2014-10-10 03:42:58 status half-installed vyatta-bash 4.1-3+vyos1+helium4
2014-10-10 03:42:58 status unpacked vyatta-bash 4.1-3+vyos1+helium4
2014-10-10 03:42:58 status unpacked vyatta-bash 4.1-3+vyos1+helium4
2014-10-10 03:42:58 install bash-completion <none> 1:1.2-3
2014-10-10 03:42:58 status half-installed bash-completion 1:1.2-3
2014-10-10 03:42:58 status unpacked bash-completion 1:1.2-3
2014-10-10 03:42:58 status unpacked bash-completion 1:1.2-3
2014-10-10 03:42:58 install module-init-tools <none> 3.12-2+b1
2014-10-10 03:42:58 status half-installed module-init-tools 3.12-2+b1
2014-10-10 03:42:58 status unpacked module-init-tools 3.12-2+b1
2014-10-10 03:42:58 status unpacked module-init-tools 3.12-2+b1
2014-10-10 03:42:58 install acpid <none> 1:2.0.7-1squeeze4
2014-10-10 03:42:58 status half-installed acpid 1:2.0.7-1squeeze4
2014-10-10 03:42:58 status unpacked acpid 1:2.0.7-1squeeze4
2014-10-10 03:42:58 status unpacked acpid 1:2.0.7-1squeeze4
2014-10-10 03:42:58 install dialog <none> 1.1-20100428-1
2014-10-10 03:42:58 status half-installed dialog 1.1-20100428-1
2014-10-10 03:42:58 status unpacked dialog 1.1-20100428-1
2014-10-10 03:42:58 status unpacked dialog 1.1-20100428-1
2014-10-10 03:42:59 install perl-modules <none> 5.10.1-17squeeze6
2014-10-10 03:42:59 status half-installed perl-modules 5.10.1-17squeeze6
2014-10-10 03:42:59 status unpacked perl-modules 5.10.1-17squeeze6
2014-10-10 03:42:59 status unpacked perl-modules 5.10.1-17squeeze6
2014-10-10 03:42:59 install libdb4.7 <none> 4.7.25-9
2014-10-10 03:42:59 status half-installed libdb4.7 4.7.25-9
2014-10-10 03:42:59 status unpacked libdb4.7 4.7.25-9
2014-10-10 03:42:59 status unpacked libdb4.7 4.7.25-9
2014-10-10 03:42:59 install libgdbm3 <none> 1.8.3-9
2014-10-10 03:42:59 status half-installed libgdbm3 1.8.3-9
2014-10-10 03:42:59 status unpacked libgdbm3 1.8.3-9
2014-10-10 03:42:59 status unpacked libgdbm3 1.8.3-9
2014-10-10 03:42:59 install perl <none> 5.10.1-17squeeze6
2014-10-10 03:42:59 status half-installed perl 5.10.1-17squeeze6
2014-10-10 03:42:59 status unpacked perl 5.10.1-17squeeze6
2014-10-10 03:42:59 status unpacked perl 5.10.1-17squeeze6
2014-10-10 03:42:59 install libnetaddr-ip-perl <none> 4.028+dfsg-1
2014-10-10 03:42:59 status half-installed libnetaddr-ip-perl 4.028+dfsg-1
2014-10-10 03:42:59 status unpacked libnetaddr-ip-perl 4.028+dfsg-1
2014-10-10 03:42:59 status unpacked libnetaddr-ip-perl 4.028+dfsg-1
2014-10-10 03:42:59 install procps <none> 1:3.2.8-9squeeze1
2014-10-10 03:42:59 status half-installed procps 1:3.2.8-9squeeze1
2014-10-10 03:42:59 status unpacked procps 1:3.2.8-9squeeze1
2014-10-10 03:42:59 status unpacked procps 1:3.2.8-9squeeze1
2014-10-10 03:42:59 install libpam-radius-auth <none> 1.3.16-4.4
2014-10-10 03:42:59 status half-installed libpam-radius-auth 1.3.16-4.4
2014-10-10 03:42:59 status unpacked libpam-radius-auth 1.3.16-4.4
2014-10-10 03:42:59 status unpacked libpam-radius-auth 1.3.16-4.4
2014-10-10 03:42:59 install libpopt0 <none> 1.16-1
2014-10-10 03:42:59 status half-installed libpopt0 1.16-1
2014-10-10 03:42:59 status unpacked libpopt0 1.16-1
2014-10-10 03:42:59 status unpacked libpopt0 1.16-1
2014-10-10 03:42:59 install logrotate <none> 3.7.8-6
2014-10-10 03:42:59 status half-installed logrotate 3.7.8-6
2014-10-10 03:42:59 status unpacked logrotate 3.7.8-6
2014-10-10 03:42:59 status unpacked logrotate 3.7.8-6
2014-10-10 03:43:00 startup packages configure
2014-10-10 03:43:00 configure adduser 3.112+nmu2 3.112+nmu2
2014-10-10 03:43:00 status unpacked adduser 3.112+nmu2
2014-10-10 03:43:00 status unpacked adduser 3.112+nmu2
2014-10-10 03:43:00 status half-configured adduser 3.112+nmu2
2014-10-10 03:43:00 status installed adduser 3.112+nmu2
2014-10-10 03:43:00 startup archives unpack
2014-10-10 03:43:00 install vyatta-quagga <none> 0.99.20.1-13+vyos1+helium1
2014-10-10 03:43:00 status half-installed vyatta-quagga 0.99.20.1-13+vyos1+helium1
2014-10-10 03:43:01 status unpacked vyatta-quagga 0.99.20.1-13+vyos1+helium1
2014-10-10 03:43:01 status unpacked vyatta-quagga 0.99.20.1-13+vyos1+helium1
2014-10-10 03:43:01 install bmon <none> 2.0.1-3
2014-10-10 03:43:01 status half-installed bmon 2.0.1-3
2014-10-10 03:43:01 status unpacked bmon 2.0.1-3
2014-10-10 03:43:01 status unpacked bmon 2.0.1-3
2014-10-10 03:43:01 install libpcap0.8 <none> 1.1.1-2+squeeze1
2014-10-10 03:43:01 status half-installed libpcap0.8 1.1.1-2+squeeze1
2014-10-10 03:43:01 status unpacked libpcap0.8 1.1.1-2+squeeze1
2014-10-10 03:43:01 status unpacked libpcap0.8 1.1.1-2+squeeze1
2014-10-10 03:43:01 install iftop <none> 0.17-16
2014-10-10 03:43:01 status half-installed iftop 0.17-16
2014-10-10 03:43:01 status unpacked iftop 0.17-16
2014-10-10 03:43:01 status unpacked iftop 0.17-16
2014-10-10 03:43:01 install ethtool <none> 1:2.6.34-3
2014-10-10 03:43:01 status half-installed ethtool 1:2.6.34-3
2014-10-10 03:43:01 status unpacked ethtool 1:2.6.34-3
2014-10-10 03:43:01 status unpacked ethtool 1:2.6.34-3
2014-10-10 03:43:01 install traceroute <none> 1:2.0.15-1
2014-10-10 03:43:01 status half-installed traceroute 1:2.0.15-1
2014-10-10 03:43:01 status unpacked traceroute 1:2.0.15-1
2014-10-10 03:43:01 status unpacked traceroute 1:2.0.15-1
2014-10-10 03:43:01 install ntpdate <none> 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:43:01 status half-installed ntpdate 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:43:01 status unpacked ntpdate 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:43:01 status unpacked ntpdate 1:4.2.6.p2+dfsg-1+vyos1+helium1
2014-10-10 03:43:01 install pciutils <none> 1:3.1.7-6
2014-10-10 03:43:01 status half-installed pciutils 1:3.1.7-6
2014-10-10 03:43:01 status unpacked pciutils 1:3.1.7-6
2014-10-10 03:43:01 status unpacked pciutils 1:3.1.7-6
2014-10-10 03:43:01 install lsof <none> 4.81.dfsg.1-1
2014-10-10 03:43:01 status half-installed lsof 4.81.dfsg.1-1
2014-10-10 03:43:01 status unpacked lsof 4.81.dfsg.1-1
2014-10-10 03:43:01 status unpacked lsof 4.81.dfsg.1-1
2014-10-10 03:43:01 install less <none> 436-1
2014-10-10 03:43:01 status half-installed less 436-1
2014-10-10 03:43:01 status unpacked less 436-1
2014-10-10 03:43:01 status unpacked less 436-1
2014-10-10 03:43:01 install libterm-readkey-perl <none> 2.30-4
2014-10-10 03:43:01 status half-installed libterm-readkey-perl 2.30-4
2014-10-10 03:43:01 status unpacked libterm-readkey-perl 2.30-4
2014-10-10 03:43:01 status unpacked libterm-readkey-perl 2.30-4
2014-10-10 03:43:01 install libwant-perl <none> 0.18-2
2014-10-10 03:43:01 status half-installed libwant-perl 0.18-2
2014-10-10 03:43:01 status unpacked libwant-perl 0.18-2
2014-10-10 03:43:01 status unpacked libwant-perl 0.18-2
2014-10-10 03:43:01 install libio-prompt-perl <none> 0.997001-1
2014-10-10 03:43:01 status half-installed libio-prompt-perl 0.997001-1
2014-10-10 03:43:01 status unpacked libio-prompt-perl 0.997001-1
2014-10-10 03:43:01 status unpacked libio-prompt-perl 0.997001-1
2014-10-10 03:43:01 install ssmtp <none> 2.64-4
2014-10-10 03:43:01 status half-installed ssmtp 2.64-4
2014-10-10 03:43:01 status unpacked ssmtp 2.64-4
2014-10-10 03:43:01 status unpacked ssmtp 2.64-4
2014-10-10 03:43:01 install at <none> 3.1.12-1+squeeze1
2014-10-10 03:43:01 status half-installed at 3.1.12-1+squeeze1
2014-10-10 03:43:01 status unpacked at 3.1.12-1+squeeze1
2014-10-10 03:43:01 status unpacked at 3.1.12-1+squeeze1
2014-10-10 03:43:01 install net-tools <none> 1.60-23
2014-10-10 03:43:01 status half-installed net-tools 1.60-23
2014-10-10 03:43:01 status unpacked net-tools 1.60-23
2014-10-10 03:43:01 status unpacked net-tools 1.60-23
2014-10-10 03:43:01 install libtimedate-perl <none> 1.2000-1
2014-10-10 03:43:01 status half-installed libtimedate-perl 1.2000-1
2014-10-10 03:43:01 status unpacked libtimedate-perl 1.2000-1
2014-10-10 03:43:01 status unpacked libtimedate-perl 1.2000-1
2014-10-10 03:43:01 install usbutils <none> 0.87-5squeeze1
2014-10-10 03:43:01 status half-installed usbutils 0.87-5squeeze1
2014-10-10 03:43:01 status unpacked usbutils 0.87-5squeeze1
2014-10-10 03:43:01 status unpacked usbutils 0.87-5squeeze1
